BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
good brewing company,GOOD BREWING CO. BOTHELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
grains of wrath brewing,GRAINS OF WRATH BREWERY,0.0,0.0,901.57,0.0,0.0,0.0,0.0,861.56,0.0,0.0,368.55,0.0,2131.6800000000003
griffin brewing pilot house,GRIFFIN BREWING PILOT HOUSE,7.88,7.85,0.0,0.0,0.0,7.61,7.3,10.64,8.66,5.09,6.06,6.04,67.13000000000001
gruff brewing company,GRUFF BREWING COMPANY,0.0,38.5,27.0,122.5,0.0,35.1,36.5,0.0,93.5,45.0,32.0,20.0,450.1
hale's ales,HALES ALES LTD,54.49,0.0,0.0,109.15,99.77,0.0,3.48,109.82,12.34,0.0,0.0,0.0,389.05
half lion brewing company,HALF LION BREWING COMPANY,79.55,141.27,193.75,65.09,49.35,120.13,218.95,106.16,0.0,0.0,86.73,124.75,1185.73
haywire brewing company,HAYWIRE BREWING CO,27.0,0.0,0.0,16.52,44.41,80.64,0.0,20.27,0.0,35.71,83.88,0.0,308.42999999999995
headless mumby brewing company,HEADLESS MUMBY BREWING,36.21,62.8,27.89,37.7,32.61,37.58,41.39,46.25,40.28,0.0,29.69,49.61,442.00999999999993
headworks brewing,HEADWORKS BREWING,22.28,43.73,41.77,49.47,31.61,46.19,28.5,48.31,42.74,21.95,31.78,38.5,446.83000000000004
heathen brewing,HEATHEN BREWING,128.08,-11.35,47.370000000000005,73.03,60.16,121.75,91.41,101.78999999999999,-1.19,-4.92,146.68,208.35999999999999,961.17
hellbent brewing company,HELLBENT BREWING,305.08,378.17,247.41,279.75,221.72,276.78,359.03,300.26,262.63,269.32,262.31,325.08,3487.54
hemlock state brewing company,HEMLOCK STATE BREWING COMPANY,20.87,18.79,18.53,18.53,20.9,32.44,18.88,20.9,21.58,18.28,25.16,20.27,255.13000000000002
here today brewery and kitchen,HERE TODAY BREWERY & KITCHEN,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.5,0.0,38.1
