brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Crucible Brewing Company,Woodinville Forge,taproom,12826 NE 178th St Ste C,Woodinville,98072,King,47.75649976,-122.16856790,2015,0,1,1,1,https://untappd.com/CrucibleBrewing
Crucible Brewing Company,Everett,micro,909 SE Everett Mall Way Ste D440,Everett,98208,Snohomish,47.91063493,-122.21966720,2015,0,1,1,0,https://untappd.com/CrucibleBrewing
Cursed Brewing,,taproom,3108 S Lloyd Ln,Spokane,99223,Spokane,47.62596530,-117.34376580,2022,1,0,1,1,https://untappd.com/CursedBrewing
Deep Draft Brewing,,brewpub,3536 W Belfair Valley Rd,Bremerton,98312,Kitsap,47.52916510,-122.69900500,2023,0,0,1,0,https://untappd.com/Deep_Draft_Brewing_Co
Diamond Knot Brewing Company,Front St Mukilteo,brewpub,621 Front St,Mukilteo,98275,Snohomish,47.94855427,-122.30497520,1993,1,1,1,0,https://untappd.com/diamondknot
Diamond Knot Brewing Company,Chennault Beach road,brewpub,4602 Chennault Beach Rd,Mukilteo,98275,Snohomish,47.89611120,-122.29551860,1993,1,1,1,0,https://untappd.com/diamondknot
Diamond Knot Brewing Company,mountlake terrace,taproom,5602 232nd St Sw,Mountlake Terrace,98043,Snohomish,47.78794170,-122.30925530,1993,1,1,1,0,https://untappd.com/diamondknot
Dick's Brewing Company,,taproom,3516 Galvin Road,Centralia,98531,Lewis,46.73549248,-122.99996430,1994,0,1,1,0,https://untappd.com/DicksBrewingCompany
Dirty Couch Brewing,,taproom,2715 W Fort St,Seattle,98199,King,47.66117377,-122.39191260,2017,0,0,1,0,https://untappd.com/DirtyCouchBrewing
Discovery Bay Brewing,,brewpub,948 North Park Ave,Port Townsend,98368,Jefferson,48.10668990,-122.80266160,2018,0,0,1,0,https://untappd.com/DiscoveryBayBrewing
District Brewing,,taproom,520 Main St,Mt Vernon,98273,Skagit,48.41945088,-122.33879760,2021,1,0,1,0,https://untappd.com/w/district-brewing/461833
Dog and Pony Brewing Company,,taproom,5427 Binder Rd,Cashmere,98815,Chelan,47.50844450,-120.47777080,2016,0,0,0,0,https://untappd.com/DogPonyBrewingCompany
Dog Days Brewing,,taproom,260 4th St,Bremerton,98337,Kitsap,47.56588540,-122.62479310,2017,0,1,1,0,https://untappd.com/DogDaysBrewery
Doghaus Brewery,,brewpub,321 9th St,Leavenworth,98826,Chelan,47.59487460,-120.66014300,2015,1,1,1,0,https://untappd.com/DoghausBrewery
Doomsday Brewing Company,Washougal,brewpub,421 C St Unit 1B,Washougal,98671,Clark,45.58082254,-122.37329830,2014,0,1,1,0,https://untappd.com/DoomsdayBrewingCompany
Doomsday Brewing Company,Hazel Dell town center,micro,9301 NE 5th Ave Suite 120,Vancouver,98665,Clark,45.68796580,-122.66660690,2014,0,1,1,0,https://untappd.com/DoomsdayBrewingCompany
Doomsday Brewing Company,Arnada Safehouse,micro,1919 Main Street,Vancouver,98660,Clark,45.63630440,-122.67130050,2014,0,1,1,0,https://untappd.com/DoomsdayBrewingCompany
Double Bluff Brewing Company,,micro,112 Anthes Ave,Langley,98260,Island,48.04026045,-122.40952640,2015,1,0,0,0,https://untappd.com/DBLFBrewing
Downpour Brewing,,brewpub,10991 NE State Highway 104,Kingston,98346,Kitsap,47.80129209,-122.50022860,2014,0,1,1,0,https://untappd.com/Downpour_Brewing
Dreadnought Brewing,,micro,16726 146th St SE Suite 153,Monroe,98272,Snohomish,47.86415100,-122.00618700,2015,0,1,1,0,https://untappd.com/DreadnoughtBrewing-brewer
Dru Bru,Snoqualmie Pass,micro,10 Pass Life Way,Snoqualmie Pass,98068,King,47.42115280,-121.41240000,2014,1,1,1,0,https://untappd.com/DruBru
Dru Bru,Cle Elum,micrp,1015 E 2nd St,Cle Elum,98922,Kittitas,47.19305065,-120.91717880,2014,1,1,1,0,https://untappd.com/DruBru
Dubtown Brewing Company,,brewpub,201 Main Avenue South,Renton,98057,King,47.48102200,-122.20441690,2019,0,0,1,0,https://untappd.com/w/dubtown-brewing-company/436623
Dunagan Irish Pub and Brewery,,micro,3222 56th St,Gig Harbor,98335,Pierce,47.252925,-122.43942500,2021,0,0,1,0,https://untappd.com/DunaganBrewingCompany
