brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Northwest Passage Craft Brewery,,1,taproom,605 Esther St,Vancouver,98660,Clark,45.62821741,-122.6727549,2017,0,1,0,0,https://untappd.com/NorthwestPassageCraftBrewery,3.5,442.0,296.0,0.0
Northwest Peaks Brewery,,1,brewpub,5718 Rainier Ave S,Seattle,98118,King,47.55099284,-122.2774345,2011,0,1,1,1,https://untappd.com/nwpeaksbrewery,3.54,21356.0,7291.0,1.0
Northwood Public House and Brewery,,1,micro,1401 SE Rasmussen Blvd #101,Battleground,98604,Clark,45.775079,-122.523019,2014,0,1,1,0,https://untappd.com/LittleDipperBrewingCompany,3.76,2113.0,865.0,2.0
Nun Chuck's Brewing Company,,1,taproom,18609 76th Ave W C,Lynnwood,98037,Snohomish,47.82961976,-122.3372621,2006,0,0,1,0,https://untappd.com/w/nun-chucks-brewing-company/475764,3.92,637.0,241.0,5.0
Obec Brewing,,1,micro,1144 NW 52nd Street,Seattle,98107,King,47.6666932,-122.3725339,2017,1,1,1,0,https://untappd.com/ObecBrewing,3.64,19610.0,6623.0,149.0
Odd Otter Brewing Company,,1,micro,716 Pacific Ave,Tacoma,98402,Pierce,47.25677,-122.439519,2014,0,1,1,0,https://untappd.com/OddOtter,3.71,31994.0,8548.0,30.0
Odin Brewing Company,,1,taproom,402 Baker Blvd,Tukwila,98188,King,47.45871185,-122.2520593,2009,0,1,1,1,https://untappd.com/OdinBrewing,3.66,89619.0,37641.0,12.0
Off Camber Brewing,,1,taproom,6506 114th Ave Ct E,Puyallup,98372,Pierce,47.19825258,-122.2773277,2017,0,1,1,0,https://untappd.com/JamesTheBrewer,3.81,2100.0,734.0,5.0
Ogres Brewing,,1,brewpub,7693 Cultus Bay Rd,Clinton,98236,Island,47.93163176,-122.389573,2019,1,1,1,0,https://untappd.com/w/ogres-brewing/261870,3.47,352.0,227.0,0.0
Old Schoolhouse Brewery,,1,brewpub,155 Riverside Dr Box 112,Winthrop,98862,Okanogan,48.4782175,-120.18652,1993,1,1,1,0,https://untappd.com/OldSchoolhouseBrewery,3.9,64335.0,21096.0,154.0
Old Stove Brewing Company,,1,taproom,1901 Western Avenue Suite A,Seattle,98101,King,47.61002,-122.343413,2016,1,1,1,0,https://untappd.com/w/old-stove-brewing-co/246787,3.72,109455.0,32779.0,651.0
Optimism Brewing Company,,1,brewpub,1158 Broadway,Seattle,98122,King,47.61280703,-122.3205273,2015,0,1,1,1,https://untappd.com/OptimismBrewing,3.59,53872.0,14239.0,1.0
Otherlands Beer,,1,taproom,2121 Humboldt St,Bellingham,98225,Whatcom,48.75847585,-122.4681985,2021,0,0,1,0,https://untappd.com/OtherlandsBeer,4.03,7436.0,2278.0,132.0
Outer Planet Craft Brewing,,1,brewpub,1812 12th Avenue Suite 100,Seattle,98122,King,47.61783778,-122.3167738,2015,1,1,1,0,https://untappd.com/OuterPlanetBrewing,3.64,11703.0,3820.0,49.0
Outlander Brewery and Pub,,1,brewpub,225 N 36th St,Seattle,98103,King,47.652371,-122.355414,2012,0,1,1,0,https://untappd.com/OutlanderBrewing,3.65,20323.0,6257.0,6.0
Packwood Brewing Company,,1,nano,12298 US-12,Packwood,98361,Lewis,46.60570825,-121.6712647,2022,0,0,0,0,https://untappd.com/w/packwood-brewing-co/405350,3.74,4939.0,1945.0,15.0
Paddle Brewing Company,,1,brewpub,23021 SE 58th St,Issaquah,98029,King,47.550431,-122.032156,2019,0,0,0,1,https://untappd.com/PaddleBrewingCompany,3.66,96.0,64.0,0.0
Paper Street Brewing Company,,1,taproom,241 Fanning Rd,Pasco,99301,Franklin,46.309907,-119.214113,2016,0,1,1,0,https://untappd.com/PaperStreetBrewingCo,3.47,1446.0,529.0,8.0
Paradise Creek Brewery,Downtown Restaurant,1,taproom,245 SE Paradise St,Pullman,99163,Whitman,46.72873725,-117.1803011,2010,1,1,1,0,https://untappd.com/paradisecreek,3.72,34321.0,14589.0,44.0
Paradise Creek Brewery,Trailside Taproom,0,micro,505 SE Riverside St,Pullman,99163,Whitman,46.72593287,-117.169861,2010,1,1,1,0,https://untappd.com/paradisecreek,3.72,34321.0,14589.0,44.0
Paramour Brewing Company,,1,brewpub,6520 S Waneta Rd,Spokane,99223,Spokane,47.59421849,-117.3564973,2021,0,0,1,0,https://untappd.com/w/paramour-brewing/457368,3.77,530.0,388.0,0.0
Parker's Steakhouse and Brewery,,1,brewpub,1300 Mount Saint Helens Way Ne,Castle Rock,98611,Cowlitz,46.28728,-122.898885,2013,0,0,0,0,https://untappd.com/w/parker-s-steakhouse-brewery/44535,3.3,255.0,146.0,0.0
Pastime Brewery,,1,taproom,1307 Main St,Oroville,98844,Okanogan,48.93758103,-119.4363202,2020,0,1,1,0,https://untappd.com/w/past-time-brewing/107617,,,,
Peace of Mind Brewing,,1,micro,18411 Hwy 99,Lynnwood,98037,Snohomish,47.83174875,-122.3058165,2022,1,0,1,0,https://untappd.com/Peace_Of_Mind_Brewing,3.73,1221.0,402.0,27.0
Peddler Brewing Company,,1,brewpub,1514 NW Leary Way,Seattle,98107,King,47.66387586,-122.3771003,2013,0,0,0,0,https://untappd.com/PeddlerBrewing,3.49,39167.0,13143.0,1.0
Penn Cove Brewing Company,,1,micro,103 S Main St,Coupeville,98239,Island,48.2109786,-122.685896,2015,0,0,0,1,https://untappd.com/PennCoveBrewingCo,3.71,5727.0,2392.0,5.0
Perfect Circle Brewing,,1,brewpub,713 6th Street,Prosser,99350,Benton,46.20462657,-119.7691094,2021,0,0,1,0,https://untappd.com/PerfectCircleBrewing,,,,
Perihelion Brewery,,1,brewpub,2800 16th Ave S,Seattle,98144,King,47.578506,-122.311929,2016,1,1,0,0,https://untappd.com/Perihelion-Brewery,3.65,11643.0,3423.0,47.0
Perry Street Brewing,,1,micro,1025 S Perry St,Spokane,99202,Spokane,47.64604873,-117.3898042,2014,1,0,1,0,https://untappd.com/w/perry-street-brewing/115199,3.89,17209.0,3647.0,38.0
Pike Brewing Company,,1,micro,1415 1st Ave,Seattle,98101,King,47.608001,-122.3394073,1989,1,1,0,0,https://untappd.com/pikebrewing,3.59,288339.0,102899.0,430.0
Port Townsend Brewing Company,,1,micro,330 10th St Suite C,Port Townsend,98368,Jefferson,48.1074022,-122.7809758,2001,0,1,1,0,https://untappd.com/porttownsendbrewing,3.63,27654.0,12429.0,53.0
Postdoc Brewing,,1,taproom,17625 NE 65th St #100,Redmond,98052,King,47.66392308,-122.1050753,2014,1,1,1,0,https://untappd.com/PostdocBrewingCompany,3.81,65938.0,15212.0,161.0
Potlatch Brewing Company,,1,brewpub,24180 US-101,Hoodsport,98548,Mason,47.40491678,-123.141186,2021,0,0,1,0,https://untappd.com/w/potlatch-brewing/500440,3.7,1535.0,651.0,19.0
Powerhouse Restaurant and Brewery,,1,nano,454 E Main,Puyallup,98372,Pierce,47.19158631,-122.2879828,2005,1,1,1,0,https://untappd.com/PowerhouseRestaurantBrewery,3.72,13672.0,3927.0,36.0
Precious Things Fermentation Project,,1,taproom,8403 N Bruce Rd,Spokane,99217,Spokane,47.73390559,-117.2865852,2018,1,0,1,0,https://untappd.com/Preciousthingsbeer,4.2,1207.0,223.0,0.0
Project 9 Brewing,,1,taproom,1409 NE 80th St,Seattle,98115,King,47.6864758,-122.3130665,2022,0,0,0,0,https://untappd.com/project9brewing,3.81,3875.0,1006.0,139.0
Propolis Brewing,,1,taproom,2457 Jefferson St,Port Townsend,98368,Jefferson,48.1086174,-122.773463,2013,0,1,1,0,https://untappd.com/PropolisBrewing,3.91,34536.0,14434.0,69.0
Quartzite Brewing Company,,1,taproom,105 W Main St,Chewelah,99109,Stevens,48.27595137,-117.7169469,2016,1,1,1,0,https://untappd.com/QuartziteBrewingCompany,3.72,860.0,278.0,1.0
Quirk Brewing,,1,taproom,425 B St,Walla Walla,99362,Walla Walla,46.0901597,-118.27695,2016,0,1,1,0,https://untappd.com/QuirkBrewing,3.8,4588.0,1147.0,19.0
