brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Cairn Brewing,micro,7204 NE 175th St,Kenmore,98028,King,47.756734,-122.244177,2016,0,0,https://untappd.com/CairnBeer,26.0,10.5,43.5,28.5,43.5,31.0,33.0,38.0,36.0,34.0,31.5,12.5,368.0
Camas Brewing Company,taproom,335 NE Cedar St,Camas,98607,Clark,45.58542289,-122.4038144,2021,0,1,https://untappd.com/CamasBrewingCo,18.0,18.0,18.0,8.38,-1.25,7.0,15.25,23.5,8.75,9.58,9.58,9.58,144.37
Camp Colvos Brewing,brewpub,17636 Vashon Hwy Sw,Vashon,98070,King,47.4464422,-122.4601578,2018,0,0,https://untappd.com/CampColvosBrewing,55.8,55.8,32.6,37.9,41.9,67.85,93.8,48.8,43.7,55.05,66.4,29.9,629.5
Captain's Brewing Company,micro,Ridgefield,Ridgefield,98642,Clark,45.80739412,-122.7144115,2017,0,0,https://untappd.com/w/captain-s-brewing-company/389266,0.17,0.5,0.42,0.42,0.42,0.42,0.39,0.35,0.32,0.32,0.32,0.32,4.37
Cardinal Craft Brewing,brewpub,15579 Peterson Rd,Burlington,98233,Skagit,48.47251215,-122.4098098,2016,0,0,https://untappd.com/CardinalCraftBrewing,13.0,13.0,11.0,9.0,7.0,5.0,3.67,2.33,1.0,1.0,6.0,6.0,78.0
Chainline Brewing Company,brewpub,500 Uptown Court Suite 210,Kirkland,98033,King,47.678357,-122.198164,2015,1,0,https://untappd.com/ChainlineBrewingCompany,66.74,123.38,126.59,139.59,-0.29,262.77,136.94,179.1,161.48,88.73,95.47,84.98,1465.48
Chaos Bay Brewing Company,brewpub,1100 Perry Ave,Bremerton,98310,Kitsap,47.5703729,-122.6136835,2021,0,0,https://untappd.com/DerBlokkenBrewery,,,,,,,,,,7.0,5.0,4.0,
Chief Spring's Fire and Irons Brewpub,micro,148 E Main St,Dayton,99328,Columbia,46.31924865,-117.9813348,2013,1,0,https://untappd.com/ChiefSpringsFireIronsBrewpub,21.87,21.87,13.36,9.71,9.97,18.56,11.41,10.83,10.72,14.12,17.52,10.7,170.64000000000001
Chuckanut Brewery,taproom,11937 Higgins Airport Way,Burlington,98233,Skagit,48.47346346,-122.4119584,2008,1,0,https://untappd.com/ChuckanutBrewery,263.4,283.3,465.2,291.1,351.45,389.8,349.3,457.6,322.6,-1.5,591.3,252.11,4015.66
Cloudburst Brewing,taproom,2116 Western Ave,Seattle,98121,King,47.61141494,-122.3449973,2015,1,0,https://untappd.com/CloudburstBrewing,139.42,159.64,181.46,175.84,167.88,181.92,166.44,196.28,168.52,164.29,147.81,150.56,2000.06
Cole Street Brewery,brewpub,2551 Cole Street-Suite R,Enumclaw,98022,King,47.2038796,-121.98903,2014,0,0,https://untappd.com/ColeStreetBreweryEnumclaw,2.0,,2.0,2.6,,,9.0,,,,,,
Common Language Brewing Company,micro,"926 W Sprague Ave, Spokane, WA",Spokane,99201,Spokane,47.6575152,-117.4262344,2022,0,1,https://untappd.com/w/common-language-brewing/519175,0.0,0.0,47.0,15.0,22.5,3.0,50.0,22.0,10.0,42.0,13.0,4.5,229.0
Counterbalance Brewing Company,micro,503 S Michigan St Ste B,Seattle,98108,King,47.545389,-122.3305859,2015,0,1,https://untappd.com/Counterbalance,27.28,40.84,39.74,39.02,36.39,42.68,28.46,37.41,25.27,13.58,13.58,13.58,357.83
Cowiche Creek Brewing Company,micro,514 Thompson Rd,Cowiche,98923,Yakima,46.65831896,-120.6834142,2018,1,0,https://untappd.com/CowicheCreek,59.66,37.5,48.5,96.99,43.49,46.0,36.0,117.11,69.66,31.67,16.0,5.17,607.75
Crane's Castle Brewing Company,taproom,1550 NE Riddell Rd Suite #180,Bremerton,98310,Kitsap,47.60686,-122.6281819,2018,0,0,https://untappd.com/CranesCastleBrewing,7.2,7.78,10.53,8.33,9.7,9.47,9.95,9.38,7.7,9.5,7.53,8.04,105.11
Crooked Label Brewing Company,brewpub,773 Village Way,Monroe,98272,Snohomish,47.850331,-121.98083,2021,0,0,https://untappd.com/w/crooked-label-brewing-company/487482,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,12.0,9.0,105.0
Crossbuck Brewing,micro,410 N 2nd Ave,Walla Walla,99362,Walla Walla,46.07018805,-118.342071,2018,1,0,https://untappd.com/xbuckbrewing,16.69,10.34,18.87,22.11,21.68,32.01,42.34,103.23,26.51,20.7,12.47,21.77,348.72
Crossed Arrows Brewery,taproom,14004 Purdy Dr Gig harbor,Gig Harbor,98332,Pierce,47.3853763,-122.6292102,2019,0,0,https://untappd.com/Crossed_Arrows_Brewery,,,,,,,,,,,,1.0,
Crucible Brewing Company,micro,909 SE Everett Mall Way Ste D440,Everett,98208,Snohomish,47.91063493,-122.2196672,2015,0,0,https://untappd.com/CrucibleBrewing,49.92,110.51,133.33,131.26,167.38,189.8,212.22,92.25,90.06,78.67,67.28,263.27,1585.95
Cursed Brewing,taproom,3108 S Lloyd Ln,Spokane,99223,Spokane,47.6259653,-117.3437658,2022,1,1,https://untappd.com/CursedBrewing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,4.78,-3.06,6.5
Darach Brewing Company,taproom,1015 N State St,Bellingham,98225,Whatcom,48.74570657,-122.4813808,2022,0,1,https://untappd.com/v/darach-brewing-company/11718840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5
