index,brewery_wa,brewery_prod,month,production
4287,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,December,3.3
4675,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,total_annual,168.85
20,atwood farm brewery,ATWOOD ALES,January,
408,atwood farm brewery,ATWOOD ALES,February,7.71
796,atwood farm brewery,ATWOOD ALES,March,5.42
1184,atwood farm brewery,ATWOOD ALES,April,
1572,atwood farm brewery,ATWOOD ALES,May,11.71
1960,atwood farm brewery,ATWOOD ALES,June,11.79
2348,atwood farm brewery,ATWOOD ALES,July,6.48
2736,atwood farm brewery,ATWOOD ALES,August,9.23
3124,atwood farm brewery,ATWOOD ALES,September,6.61
3512,atwood farm brewery,ATWOOD ALES,October,
3900,atwood farm brewery,ATWOOD ALES,November,7.7
4288,atwood farm brewery,ATWOOD ALES,December,10.67
4676,atwood farm brewery,ATWOOD ALES,total_annual,77.32
21,audacity brewing,AUDACITY BREWING,January,8.33
409,audacity brewing,AUDACITY BREWING,February,5.83
797,audacity brewing,AUDACITY BREWING,March,2.59
1185,audacity brewing,AUDACITY BREWING,April,8.8
1573,audacity brewing,AUDACITY BREWING,May,10.03
1961,audacity brewing,AUDACITY BREWING,June,4.32
2349,audacity brewing,AUDACITY BREWING,July,8.45
2737,audacity brewing,AUDACITY BREWING,August,12.23
3125,audacity brewing,AUDACITY BREWING,September,8.5
3513,audacity brewing,AUDACITY BREWING,October,7.13
3901,audacity brewing,AUDACITY BREWING,November,4.5
4289,audacity brewing,AUDACITY BREWING,December,6.48
4677,audacity brewing,AUDACITY BREWING,total_annual,87.19
22,backwoods brewing company,BACKWOODS BREWING COMPANY,January,148.47
410,backwoods brewing company,BACKWOODS BREWING COMPANY,February,162.26
798,backwoods brewing company,BACKWOODS BREWING COMPANY,March,246.93
1186,backwoods brewing company,BACKWOODS BREWING COMPANY,April,210.97
1574,backwoods brewing company,BACKWOODS BREWING COMPANY,May,201.53
1962,backwoods brewing company,BACKWOODS BREWING COMPANY,June,275.74
2350,backwoods brewing company,BACKWOODS BREWING COMPANY,July,229.94
2738,backwoods brewing company,BACKWOODS BREWING COMPANY,August,280.54999999999995
3126,backwoods brewing company,BACKWOODS BREWING COMPANY,September,281.01
